host_id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews
193031,Frankston,-38.14932,145.14157,Private room,2,1.5 shared baths,1,1,"[""Clothing storage: closet"", ""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Drying rack for clothing"", ""Lake access"", ""Barbecue utensils"", ""Books and reading material"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Shared patio or balcony"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Rice maker"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Coffee"", ""Bathtub"", ""Shared backyard \u2013 Fully fenced"", ""Portable fans"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Outdoor dining area"", ""Refrigerator"", ""Shower gel"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Soap free body soap"", ""Dishwasher"", ""Heating"", ""Freezer"", ""Single level home"", ""Outdoor furniture"", ""Iron"", ""Courtyard view"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Baking sheet"", ""Cleaning products"", ""Free parking on premises""]",89.0,5,55
1300320,Port Phillip,-37.83392,144.95889,Entire home/apt,8,3.5 baths,4,5,"[""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Drying rack for clothing"", ""AC - split type ductless system"", ""Sound system"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Books and reading material"", ""Free street parking"", ""High chair"", ""Baby bath"", ""Hot water"", ""Indoor fireplace: wood-burning"", ""Coffee maker: espresso machine"", ""Lockbox"", ""Dining table"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Rice maker"", ""Babysitter recommendations"", ""Cleaning available during stay"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Clothing storage: closet and wardrobe"", ""Fast wifi \u2013 57 Mbps"", ""Oven"", ""Long term stays allowed"", ""Ceiling fan"", ""Coffee"", ""Baby safety gates"", ""Portable fans"", ""Body soap"", ""Laundromat nearby"", ""Outdoor dining area"", ""Refrigerator"", ""Pets allowed"", ""Shower gel"", ""Safe"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dishwasher"", ""Garden view"", ""Free dryer \u2013 In building"", ""Freezer"", ""Smeg gas stove"", ""Blender"", ""City skyline view"", ""Outdoor furniture"", ""Crib"", ""Iron"", ""Ethernet connection"", ""Courtyard view"", ""Paid street parking off premises"", ""55\"" HDTV with Amazon Prime Video, HBO Max, Netflix, standard cable"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Central heating"", ""Fire extinguisher"", ""Self check-in"", ""Private patio or balcony"", ""Cooking basics"", ""Private entrance"", ""Free washer \u2013 In building"", ""Cleaning products"", ""Free parking on premises"", ""Baby monitor""]",530.0,2,227
6607846,Darebin,-37.78358,144.99885,Entire home/apt,2,1 bath,1,1,"[""Kitchen"", ""Washer"", ""TV"", ""Free parking on premises"", ""Heating""]",110.0,4,3
760849,Stonnington,-37.84707,144.98576,Entire home/apt,6,2 baths,3,4,"[""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Drying rack for clothing"", ""AC - split type ductless system"", ""Barbecue utensils"", ""Free street parking"", ""Lockbox"", ""Gas stove"", ""Pack \u2019n play/Travel crib - available upon request"", ""Hot water"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Hair dryer"", ""Long term stays allowed"", ""Shampoo"", ""Oven"", ""Paid folding or convertible high chair - available upon request"", ""Bathtub"", ""Body soap"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Pets allowed"", ""Wine glasses"", ""Dishwasher"", ""Freezer"", ""Outdoor furniture"", ""Iron"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Fire extinguisher"", ""Heating - split type ductless system"", ""Self check-in"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Private entrance"", ""Private patio or balcony"", ""Cleaning products""]",665.0,5,19
355966,Yarra,-37.82101,144.99278,Entire home/apt,2,1 bath,1,1,[],105.0,14,1
3119669,Port Phillip,-37.84158,144.93794,Private room,2,1 private bath,1,1,"[""Stainless steel gas stove"", ""Microwave"", ""AC - split type ductless system"", ""Coffee maker"", ""Free street parking"", ""Lockbox"", ""Hot water"", ""Shared patio or balcony"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""40\"" HDTV with Apple TV, Netflix"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""Long term stays allowed"", ""Shampoo"", ""Oven"", ""Wifi \u2013 27 Mbps"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Heating"", ""Single level home"", ""City skyline view"", ""Paid parking off premises"", ""Iron"", ""Self check-in"", ""Cooking basics"", ""Beach access \u2013 Beachfront""]",90.0,5,143
2150180,Port Phillip,-37.84168,144.94397,Entire home/apt,4,1 bath,2,3,"[""Shared gym in building"", ""Stainless steel gas stove"", ""Microwave"", ""Hot water kettle"", ""BBQ grill"", ""Beach essentials"", ""Drying rack for clothing"", ""Window AC unit"", ""Shared outdoor pool - available all year, heated, pool cover, pool toys"", ""Books and reading material"", ""Coffee maker"", ""Public or shared beach access"", ""Free resort access"", ""Hot water"", ""Free street parking"", ""Lockbox"", ""Elevator"", ""Dining table"", ""Smoke alarm"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Dishes and silverware"", ""Children\u2019s dinnerware"", ""Babysitter recommendations"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Clothing storage: closet and wardrobe"", ""Board games"", ""Oven"", ""Long term stays allowed"", ""Ceiling fan"", ""Bathtub"", ""Body soap"", ""Free washer \u2013 In unit"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat"", ""Outdoor dining area"", ""Refrigerator"", ""Shower gel"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dishwasher"", ""Heating"", ""Freezer"", ""Shared sauna"", ""Single level home"", ""Outdoor furniture"", ""Iron"", ""Courtyard view"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Wifi \u2013 28 Mbps"", ""Self check-in"", ""Private patio or balcony"", ""Cooking basics"", ""Baking sheet"", ""Private entrance"", ""Cleaning products""]",170.0,30,31
189245,Port Phillip,-37.83155713210426,144.97064430769746,Private room,2,1 shared bath,1,1,"[""Stainless steel gas stove"", ""Microwave"", ""Stainless steel oven"", ""Hot water kettle"", ""BBQ grill"", ""Drying rack for clothing"", ""40\"" HDTV with DVD player"", ""Carbon monoxide alarm"", ""Breakfast"", ""Outlet covers"", ""Books and reading material"", ""Coffee maker"", ""Barbecue utensils"", ""Exercise equipment"", ""Hot water"", ""Free street parking"", ""Host greets you"", ""Clothing storage: closet and dresser"", ""Elevator"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Rice maker"", ""First aid kit"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Board games"", ""Long term stays allowed"", ""Ceiling fan"", ""Coffee"", ""Bathtub"", ""Portable fans"", ""Body soap"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Shower gel"", ""Bay view"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dishwasher"", ""Lock on bedroom door"", ""Private gym in building"", ""Heating"", ""Freezer"", ""Security cameras on property"", ""Shared indoor pool - available all year, open 24 hours, olympic-sized"", ""Single level home"", ""Blender"", ""City skyline view"", ""Outdoor furniture"", ""Iron"", ""Paid parking lot off premises"", ""Ethernet connection"", ""Paid parking on premises \u2013 50 spaces"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Private patio or balcony"", ""Cooking basics"", ""Baking sheet"", ""Resort access"", ""Cleaning products"", ""Free parking on premises""]",88.0,1,54
440653,Stonnington,-37.85437,144.99488,Entire home/apt,2,1 bath,1,1,"[""Coffee maker"", ""Free street parking"", ""Host greets you"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Hair dryer"", ""Shampoo"", ""Oven"", ""Stove"", ""Patio or balcony"", ""Refrigerator"", ""Dishwasher"", ""Air conditioning"", ""Heating"", ""Smoking allowed"", ""Iron"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Cooking basics"", ""Washer""]",74.0,2,17
461853213,Yarra,-37.80055,144.9765,Entire home/apt,4,1 bath,2,3,"[""Microwave"", ""Hot water kettle"", ""Free parking garage on premises \u2013 1 space"", ""AC - split type ductless system"", ""Books and reading material"", ""Lockbox"", ""Hot water"", ""Elevator"", ""Dining table"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Bed linens"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""Conditioner"", ""Hangers"", ""Essentials"", ""Shared backyard"", ""Clothing storage"", ""Hair dryer"", ""Room-darkening shades"", ""Shampoo"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Body soap"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Refrigerator"", ""Shower gel"", ""Dishwasher"", ""Freezer"", ""Outdoor furniture"", ""Iron"", ""Ethernet connection"", ""TV with standard cable"", ""Self check-in"", ""Heating - split type ductless system"", ""Private patio or balcony"", ""Cooking basics""]",167.0,2,159
